Table S14. Ports throughput,,,,
iso3,year,RCP,SSP,throughput
AIA,2050,RCP4.5,SSP5,107182.8996
ALB,2050,RCP4.5,SSP1,3823843.036
ALB,2050,RCP4.5,SSP2,3759715.642
ALB,2050,RCP4.5,SSP5,5932892.516
ARE,2050,RCP4.5,SSP1,811536426.4
ARE,2050,RCP4.5,SSP2,807345836.9
ARE,2050,RCP4.5,SSP5,1258072907
ARG,2050,RCP4.5,SSP1,241731658.3
ARG,2050,RCP4.5,SSP2,270069612.7
ARG,2050,RCP4.5,SSP5,459660330
ASM,2050,RCP4.5,SSP1,406673.0248
ASM,2050,RCP4.5,SSP2,405467.7405
ASM,2050,RCP4.5,SSP5,656900.1213
