iso3,scc,oc_capital,valuation
CHE,-1.1432972266497906e-09,Mangroves,Non-market use value
CHE,-1.1432972266497906e-09,Mangroves,Nonuse value
CHE,-1.1432972266497906e-09,Ports,Market value
CHE,-0.0,Total,Total
CHL,4.263930896962193e-10,Corals,Market value
CHL,2.3022360205211843e-10,Corals,Non-market use value
CHL,2.3022360205211843e-10,Corals,Nonuse value
CHL,0.00334017569986335,Fisheries,Market value
CHL,0.0552127654713853,Fisheries,Non-market use value
CHL,4.263930896962193e-10,Mangroves,Market value
CHL,2.3022360205211843e-10,Mangroves,Non-market use value
CHL,2.3022360205211843e-10,Mangroves,Nonuse value
CHL,0.011192295824750571,Ports,Market value
CHL,0.06974523468267767,Total,Total
CHN,9.807822849298743e-05,Corals,Market value
CHN,0.002712647778035602,Corals,Non-market use value
CHN,0.7472902188437825,Corals,Nonuse value
CHN,0.002827467326753002,Fisheries,Market value
CHN,2.5569641770499842,Fisheries,Non-market use value
CHN,7.207194058455521e-05,Mangroves,Market value
CHN,0.0001935922177528583,Mangroves,Non-market use value
CHN,0.07595245175745084,Mangroves,Nonuse value
CHN,0.17296555633359018,Ports,Market value
CHN,3.559076372016035,Total,Total
CIV,3.2134678474960993e-10,Corals,Market value
CIV,3.0908606242503593e-10,Corals,Non-market use value
CIV,3.0908606242503593e-10,Corals,Nonuse value
CIV,0.00020409204909453796,Fisheries,Market value
CIV,3.0908606242503593e-10,Fisheries,Non-market use value
CIV,1.4219949096873813e-05,Mangroves,Market value
CIV,0.001900810897227139,Mangroves,Non-market use value
CIV,0.0014896001818023202,Mangroves,Nonuse value
CIV,0.002918965492189923,Ports,Market value
CIV,0.006527686685075343,Total,Total
CMR,1.5585031689237727e-10,Corals,Market value
CMR,1.0603850138727729e-10,Corals,Non-market use value
CMR,1.0603850138727729e-10,Corals,Nonuse value
CMR,1.8257708601197858e-05,Fisheries,Market value
CMR,0.09854072448276327,Fisheries,Non-market use value
CMR,3.125972317651724e-05,Mangroves,Market value
CMR,5.676994421055482e-07,Mangroves,Non-market use value
CMR,-9.436466531000462e-05,Mangroves,Nonuse value
CMR,0.0016522072602237039,Ports,Market value
CMR,0.10014865045807717,Total,Total
COD,-2.0853139950817654e-10,Corals,Market value
COD,-1.9972887859384447e-10,Corals,Non-market use value
COD,-1.9972887859384447e-10,Corals,Nonuse value
COD,2.8553934458673e-07,Fisheries,Market value
COD,-1.9972887859384447e-10,Fisheries,Non-market use value
COD,-2.0853139950817654e-10,Mangroves,Market value
COD,-1.9972887859384447e-10,Mangroves,Non-market use value
COD,-1.9972887859384447e-10,Mangroves,Nonuse value
COD,-2.0853139950817654e-10,Ports,Market value
COD,2.856407720107906e-07,Total,Total
COG,9.81822398136622e-11,Corals,Market value
COG,8.861532980626808e-11,Corals,Non-market use value
COG,8.861532980626808e-11,Corals,Nonuse value
COG,-1.545505914895531e-05,Fisheries,Market value
COG,0.018127078142031256,Fisheries,Non-market use value
COG,1.1487594925170365e-06,Mangroves,Market value
COG,2.110269469549559e-06,Mangroves,Non-market use value
COG,0.00027192901928583776,Mangroves,Nonuse value
COG,0.0011271060230095774,Ports,Market value
COG,0.019513916577639342,Total,Total
COL,0.0002396706327955696,Corals,Market value
COL,0.010819544477582434,Corals,Non-market use value
COL,0.06283133475278377,Corals,Nonuse value
COL,0.00020265653385870698,Fisheries,Market value
COL,0.16407589386813518,Fisheries,Non-market use value
COL,9.26047385577377e-05,Mangroves,Market value
COL,0.0012183646562663301,Mangroves,Non-market use value
COL,0.004865863657115527,Mangroves,Nonuse value
COL,0.010957760293081409,Ports,Market value
COL,0.25530369348656556,Total,Total
COM,0.00011445893294369302,Corals,Market value
COM,0.000874088497395427,Corals,Non-market use value
COM,0.000860766081511623,Corals,Nonuse value
COM,1.3861520147672534e-06,Fisheries,Market value
COM,-4.700489143699023e-12,Fisheries,Non-market use value
COM,3.0605771969085787e-07,Mangroves,Market value
COM,1.3202789789399792e-06,Mangroves,Non-market use value
COM,-1.3695735777210793e-06,Mangroves,Nonuse value
COM,0.00022759604992363266,Ports,Market value
COM,0.002078552474745281,Total,Total
CPV,1.3807328826776492e-11,Corals,Market value
CPV,1.1503310053760005e-11,Corals,Non-market use value
CPV,1.1503310053760005e-11,Corals,Nonuse value
CPV,9.291640185278457e-05,Fisheries,Market value
CPV,0.0013015227307169802,Fisheries,Non-market use value
CPV,1.3807328826776492e-11,Mangroves,Market value
CPV,1.1503310053760005e-11,Mangroves,Non-market use value
CPV,1.1503310053760005e-11,Mangroves,Nonuse value
CPV,0.00010145749559209053,Ports,Market value
CPV,0.0014958966017404693,Total,Total
CRI,2.1430718905668282e-05,Corals,Market value
