"","countrycode","year","unit_benefit","use_market_perkm2","use_nonmarket_perkm2","nonuse_perkm2"
"4495","MUS",2050,"Int2020$_perkm2_peryear",9548157.20923492,721298.785335263,956724.484427207
"4496","MUS",2051,"Int2020$_perkm2_peryear",9603998.00314735,724414.466856338,973545.887419679
"4497","MUS",2052,"Int2020$_perkm2_peryear",9660165.37256503,727543.606699456,990663.049121409
"4498","MUS",2053,"Int2020$_perkm2_peryear",9716661.22740996,730686.262998423,1008081.16964647
"4499","MUS",2054,"Int2020$_perkm2_peryear",9773487.48877398,733842.494138157,1025805.54053877
"4500","MUS",2055,"Int2020$_perkm2_peryear",9830646.08898413,737012.358755778,1043841.54637973
"4501","MUS",2056,"Int2020$_perkm2_peryear",9881719.3101044,739947.131512645,1061212.13783727
"4502","MUS",2057,"Int2020$_perkm2_peryear",9933057.8722706,742893.590492996,1078871.79371136
"4503","MUS",2058,"Int2020$_perkm2_peryear",9984663.15401087,745851.782231206,1096825.32432969
"4504","MUS",2059,"Int2020$_perkm2_peryear",10036536.5410152,748821.753446951,1115077.62006873
"4505","MUS",2060,"Int2020$_perkm2_peryear",10088679.4261725,751803.551045944,1133633.65268578
"4506","MUS",2061,"Int2020$_perkm2_peryear",10138210.7131281,754700.512712095,1152186.36128096
"4507","MUS",2062,"Int2020$_perkm2_peryear",10187985.1784307,757608.637383375,1171042.69794453
"4508","MUS",2063,"Int2020$_perkm2_peryear",10238004.0159867,760527.968074742,1190207.63176246
"4509","MUS",2064,"Int2020$_perkm2_peryear",10288268.4255636,763458.5479669,1209686.21314325
"4510","MUS",2065,"Int2020$_perkm2_peryear",10338779.6128197,766400.420406955,1229483.57514896
"4511","MUS",2066,"Int2020$_perkm2_peryear",10385021.0327515,769236.76448701,1249476.40671696
"4512","MUS",2067,"Int2020$_perkm2_peryear",10431469.2729269,772083.605492078,1269794.34495756
"4513","MUS",2068,"Int2020$_perkm2_peryear",10478125.2583739,774940.982269849,1290442.67648299
"4514","MUS",2069,"Int2020$_perkm2_peryear",10524989.9182579,777808.933811795,1311426.77387198
"4515","MUS",2070,"Int2020$_perkm2_peryear",10572064.1859001,780687.499253683,1332752.09706765
"4516","MUS",2071,"Int2020$_perkm2_peryear",10619597.9826316,783641.85594709,1355148.43434801
"4517","MUS",2072,"Int2020$_perkm2_peryear",10667345.4993889,786607.392816281,1377921.13263708
"4518","MUS",2073,"Int2020$_perkm2_peryear",10715307.6970937,789584.152170404,1401076.51652294
"4519","MUS",2074,"Int2020$_perkm2_peryear",10763485.5409879,792572.176478727,1424621.01687578
"4520","MUS",2075,"Int2020$_perkm2_peryear",10811880.0006535,795571.508371228,1448561.17263383
"4521","MUS",2076,"Int2020$_perkm2_peryear",10858564.8224549,798594.681900981,1473649.195376
"4522","MUS",2077,"Int2020$_perkm2_peryear",10905451.2255342,801629.343496979,1499171.72436963
"4523","MUS",2078,"Int2020$_perkm2_peryear",10952540.080303,804675.536813902,1525136.284946
"4524","MUS",2079,"Int2020$_perkm2_peryear",10999832.2609312,807733.305672312,1551550.53276964
"4525","MUS",2080,"Int2020$_perkm2_peryear",11047328.6453635,810802.694059293,1578422.2560956
"4526","MUS",2081,"Int2020$_perkm2_peryear",11091447.989106,813708.603097156,1604476.0623582
"4527","MUS",2082,"Int2020$_perkm2_peryear",11135743.5307833,816624.926884991,1630959.91882957
"4528","MUS",2083,"Int2020$_perkm2_peryear",11180215.9740711,819551.702749162,1657880.92401886
"4529","MUS",2084,"Int2020$_perkm2_peryear",11224866.0254555,822488.968149813,1685246.29360486
"4530","MUS",2085,"Int2020$_perkm2_peryear",11269694.3942438,825436.760681338,1713063.36237006
"4531","MUS",2086,"Int2020$_perkm2_peryear",11312056.6672545,828342.519278763,1741466.62170513
"4532","MUS",2087,"Int2020$_perkm2_peryear",11354578.1781391,831258.506925132,1770340.81816872
"4533","MUS",2088,"Int2020$_perkm2_peryear",11397259.5254655,834184.759629441,1799693.76008227
"4534","MUS",2089,"Int2020$_perkm2_peryear",11440101.3100518,837121.313527445,1829533.38523227
"4535","MUS",2090,"Int2020$_perkm2_peryear",11483104.1349743,840068.204882103,1859867.76301676
"4536","MUS",2091,"Int2020$_perkm2_peryear",11523305.8775712,842857.267199003,1889125.83440789
"4537","MUS",2092,"Int2020$_perkm2_peryear",11563648.3643509,845655.589321907,1918844.17225375
"4538","MUS",2093,"Int2020$_perkm2_peryear",11604132.0880513,848463.201993768,1949030.01712757
"4539","MUS",2094,"Int2020$_perkm2_peryear",11644757.5431356,851280.136059605,1979690.72350602
"4540","MUS",2095,"Int2020$_perkm2_peryear",11685525.2257978,854106.42246684,2010833.76156091
"4541","MUS",2096,"Int2020$_perkm2_peryear",11724211.7591167,856882.142935229,2042321.54687578
"4542","MUS",2097,"Int2020$_perkm2_peryear",11763026.3695079,859666.884087591,2074302.40160441
"4543","MUS",2098,"Int2020$_perkm2_peryear",11801969.4809883,862460.675239827,2106784.04675497
"4544","MUS",2099,"Int2020$_perkm2_peryear",11841041.5189782,865263.545803107,2139774.3242394
"4545","MUS",2100,"Int2020$_perkm2_peryear",11880242.9103065,868075.525284187,2173281.19876671
"4546","MYS",2026,"Int2020$_perkm2_peryear",4316015.49198514,196996.742088595,163665.008742157
"4547","MYS",2027,"Int2020$_perkm2_peryear",4386690.88027585,198929.430762712,169098.725504783
"4548","MYS",2028,"Int2020$_perkm2_peryear",4458561.72824464,200881.412037176,174717.009289813
"4549","MYS",2029,"Int2020$_perkm2_peryear",4531648.84165183,202852.881569995,180526.252918658
"4550","MYS",2030,"Int2020$_perkm2_peryear",4605973.39717841,204844.037031954,186533.074256169
"4551","MYS",2031,"Int2020$_perkm2_peryear",4657131.62249096,206114.197938515,190274.062595994
"4552","MYS",2032,"Int2020$_perkm2_peryear",4708893.35390344,207392.515920912,194092.955704654
"4553","MYS",2033,"Int2020$_perkm2_peryear",4761266.0746978,208679.045061239,197991.425035125
"4554","MYS",2034,"Int2020$_perkm2_peryear",4814257.36461857,209973.839810322,201971.178721284
"4555","MYS",2035,"Int2020$_perkm2_peryear",4867874.901153,211276.954990289,206033.962396441
"4556","MYS",2036,"Int2020$_perkm2_peryear",4916086.50150845,212476.511187467,209915.340876568
"4557","MYS",2037,"Int2020$_perkm2_peryear",4964806.84807398,213683.124416692,213873.12642687
"4558","MYS",2038,"Int2020$_perkm2_peryear",5014041.60414348,214896.83757084,217908.873937421
"4559","MYS",2039,"Int2020$_perkm2_peryear",5063796.49877242,216117.693811117,222024.170703716
