"","ISO3","HealthBenefit_PercentageGDP_intercept","HealthBenefit_PercentageGDP_intercept_se","HealthBenefit_PercentageGDP_perDegreeC","HealthBenefit_PercentageGDP_perDegreeC_se"
"66","LTU",8.06810029239568,1.01348412436245,0.660221174810545,0.0678118234024146
"67","LVA",5.79979603149831,0.700637494068886,0.221346956403219,0.0371029391617271
"68","MAR",20.6083054263695,2.12030767301536,-3.61223027057923,0.282760703977987
"69","MDG",19.2624708878588,1.71471578734261,-5.20464590308425,0.270762629692123
"70","MDV",28.028076179441,2.84547856452841,-3.76735008511257,0.256080029014119
"71","MEX",1.20615016588261,0.124301981027245,-0.0604182045873491,0.00435168895830335
"72","MLT",1.40899307246287,0.161759271788567,0.0397793363332377,0.0126667780391428
"73","MOZ",50.8560700450423,4.82080239267851,-15.2325760116102,0.817533082035093
"74","MRT",3.83273226623819,0.336147755321737,-1.01121572426229,0.0498380110551491
"75","MUS",6.11472674102518,0.635638754540445,-0.486645334927157,0.074399256691063
"76","MYS",8.26432496574676,0.911546458204442,-0.0909505056940289,0.0376691558485756
"77","NAM",5.55240712599079,0.521751947950546,-1.0555343136022,0.0429701936122568
"78","NGA",14.2665208636258,1.28599826765352,-3.48300106910925,0.163980229089478
"79","NIC",3.62652083355357,0.335439193411882,-0.841721220798655,0.0498982409050429
"80","NLD",0.37434329154316,0.0482232584566763,0.0534499460753776,0.00510721932704692
"81","NOR",0.36281488382674,0.0490343700915353,0.0724338805032728,0.00592248586427211
"82","NZL",0.710444196041691,0.0862014464579079,0.0575504863172893,0.00814499894496081
"83","OMN",0.494869635340568,0.060053122902793,0.061788465945276,0.00544034261726044
"84","PAK",0.30839461948617,0.0273606713580412,-0.0724515676289418,0.00477906302311094
"85","PAN",1.64874938238576,0.180831956132292,0.0196654653643609,0.00718019393851204
"86","PER",4.14852205722788,0.46597987634035,-0.136809996340673,0.0112373246134481
"87","PHL",21.9963853107512,2.02992698127732,-4.23761892384093,0.200824637125264
"88","POL",1.7928756517106,0.209517259888968,0.0747404964925735,0.0174959384236265
